iter	CrossEntropy
264	0.5092243042
265	0.5089940186
266	0.5087494507
267	0.5085219727
268	0.5082608337
269	0.5080390625
270	0.5077965088
271	0.5075975952
272	0.5073426514
273	0.5071327209
274	0.5069025269
275	0.5066564331
276	0.5064537354
277	0.5062133179
278	0.505977356
279	0.5057315063
280	0.505517395
281	0.5052940674
282	0.5050856628
283	0.5048798218
284	0.5047001038
285	0.5045139771
286	0.5043164673
287	0.5041196594
288	0.5039430542
289	0.5037656555
290	0.5035654297
291	0.5033224182
292	0.5030974121
293	0.5028518677
294	0.5026629944
295	0.5024435425
296	0.5022188721
297	0.5020323486
298	0.5018553162
299	0.5016680908
300	0.50146521
301	0.5012457581
302	0.501056366
303	0.500851593
304	0.5006911011
305	0.5005132446
306	0.5003460999
307	0.500149353
308	0.4999541016
309	0.4997941284
310	0.4996393433
311	0.4994326477
312	0.4992225952
313	0.4990631714
314	0.4988378906
315	0.4986550903
316	0.4984836121
317	0.4983191528
318	0.4981447449
319	0.4979734192
320	0.4977936401
321	0.4976052246
322	0.4974438477
323	0.4972853088
324	0.4971077576
325	0.4969101868
326	0.4967182007
327	0.4965397034
328	0.4963924255
329	0.4962212524
330	0.4960814514
331	0.495899292
332	0.4957286072
333	0.4955423584
334	0.495391571
335	0.4952030029
336	0.4950589294
337	0.4949012451
338	0.4947365723
339	0.4946097412
340	0.494425354
341	0.4942536011
342	0.4941054687
343	0.493955719
344	0.4938163452
345	0.4936499634
346	0.4935078735
347	0.4933580322
348	0.4932320251
349	0.4930842285
350	0.4929436951
351	0.4927857056
352	0.4926151123
353	0.492468689
354	0.4922998352
355	0.4921377869
356	0.4919969482
357	0.4918620605
358	0.4917319641
359	0.4915856934
360	0.4914613037
361	0.4912987061
362	0.4911348877
363	0.4909741516
364	0.4908566284
365	0.4907381592
366	0.4906070862
367	0.4904500122
368	0.4902996216
369	0.4901834106
370	0.4900235596
371	0.4899196167
372	0.4897573853
373	0.489647644
374	0.4895256653
375	0.4893927612
376	0.4892721558
377	0.4891370544
378	0.4890162354
379	0.4888630371
380	0.4887224731
381	0.4885722351
382	0.4884380798
383	0.4883219604
384	0.4882190857
385	0.4881099243
386	0.4879875183
387	0.4878546143
388	0.4877323608
389	0.4876090088
390	0.4875106201
391	0.4873894653
392	0.4872842102
393	0.4871514893
394	0.4870220032
395	0.486895813
396	0.4867843323
397	0.4866896973
398	0.4865695496
399	0.4864783936
400	0.486364502
401	0.486252533
402	0.4861408081
403	0.4860169983
404	0.4858937378
405	0.4857861328
406	0.4856809082
407	0.4855737305
408	0.4854794312
409	0.4853616943
410	0.4852512207
411	0.4851498413
412	0.4850403442
413	0.4849087219
414	0.4847841797
415	0.484683075
416	0.4845552063
417	0.4844547729
418	0.4843413086
419	0.4842311401
420	0.4841245422
421	0.4840206299
422	0.4839039917
423	0.4838231201
424	0.4837361145
425	0.4836246338
426	0.4835094604
427	0.4834108276
428	0.4833010864
429	0.4832119751
430	0.483090271
431	0.4830109863
432	0.4829002686
433	0.4827716675
434	0.4826753235
435	0.4825991211
436	0.4824811096
437	0.4824056396
438	0.4823019409
439	0.4821817017
440	0.4820756531
441	0.4819714355
442	0.4818705444
443	0.4817624817
444	0.4816618652
445	0.4815709229
446	0.4814857483
447	0.481425354
448	0.4813237
449	0.4812255859
450	0.4811323242
451	0.481019104
452	0.4809078064
453	0.4808149414
454	0.4807261963
455	0.4806348267
456	0.4805321655
457	0.4804719849
458	0.4803986511
459	0.4803306274
460	0.4802358093
