id,class,D_sum,D_count,D_mean,D_squarred_difference,D_standard_error,D_max,D_min,K_sum,K_count,K_mean,K_squarred_difference,K_standard_error,K_max,K_min
24,,-567.4532715389315,2926.333333333404,0.0,105.50149970067875,0.0,-8.212879586380032e-07,-0.8781855134628282,-193.55186337447816,1284.1666666666592,0.0,45.57068835334303,0.0,-1.6057465715957912e-07,-0.759377629641881
25,,-445.5150163647021,2828.0000000000764,0.0,320.4486412496324,0.0,-1.2507608409718003e-06,-0.8971035817991294,-349.5536340771836,1356.4999999999936,0.0,118.94424211257046,0.0,-3.4553783428284647e-06,-0.801895617380282
26,,-326.7325509948567,2783.6666666667356,0.0,177.46599872866597,0.0,-1.0015332801969847e-07,-0.8279294388318972,-257.9764945287036,1347.9999999999925,0.0,66.64414738308705,0.0,-4.1983711344846325e-06,-0.7949750056924573
27,,-632.3348339628535,2864.000000000085,0.0,93.4415744232449,0.0,-1.645698809499457e-07,-0.7691992204799032,-150.44753387998762,1195.3333333333392,0.0,35.152546557420415,0.0,-4.2311294830664296e-08,-0.6208397770794336
28,,-468.16333889312585,2892.166666666748,0.0,107.50859664709553,0.0,-3.187990339716838e-06,-0.7388066897415216,-198.91978446251738,1278.1666666666629,0.0,45.04051822992156,0.0,-9.398191285124061e-07,-0.6855902521532585
29,,-329.7919237403382,2789.166666666746,0.0,207.2393810940752,0.0,-1.4865144525130904e-06,-0.6570976694000293,-275.20151096955874,1335.833333333326,0.0,80.4472175877063,0.0,-3.3106552698232514e-06,-0.7276283358331407
30,,-670.4810914515962,2869.6666666667425,0.0,112.9442385924829,0.0,-7.086682154282255e-07,-0.7681415179920122,-164.5878389686628,1206.5000000000011,0.0,43.03211439824654,0.0,-1.6713277381379889e-06,-0.6814557377395184
31,,-378.2486236348553,2833.1666666667497,0.0,122.06462678150433,0.0,-1.3346092319606796e-06,-0.8388720828937862,-212.87698591315882,1305.666666666662,0.0,48.92163631862416,0.0,-5.682982390983511e-06,-0.6812263166586496
32,,-890.7297854977296,2900.500000000085,0.0,200.68863159228073,0.0,-3.5285864699964786e-08,-0.8932820222204159,-188.62865124542063,1190.5000000000064,0.0,62.15237131301083,0.0,-5.8227875144166384e-08,-0.7903965805382912
33,,-338.132785033685,2858.833333333407,0.0,72.61891179995658,0.0,-6.837427990839094e-08,-0.5990235903241337,-171.43631091538444,1320.166666666659,0.0,31.35246497136088,0.0,-4.857466260084622e-07,-0.5947410254693937
34,,-762.533064691621,2875.5000000000937,0.0,153.49787397552873,0.0,-1.8037741460585955e-07,-0.806160768369968,-160.78914512122344,1181.833333333338,0.0,47.71235426859359,0.0,-1.9828613266515783e-07,-0.668951481407181
35,,-522.0041780256455,2948.0000000000855,0.0,75.7614367633207,0.0,-1.677721578452846e-06,-0.6409664173172394,-153.71675631327443,1252.3333333333323,0.0,32.519722077032434,0.0,-3.0963891940931534e-07,-0.5417368844178162
36,,-553.6069264858297,2887.8333333334167,0.0,92.5405055562592,0.0,-2.590081533740945e-06,-0.8749478565366918,-151.2966832080752,1244.8333333333317,0.0,32.9119324436155,0.0,-1.0674968401841514e-06,-0.6511067864839941
37,,-604.4169806625733,2862.5000000000787,0.0,97.71853882127864,0.0,-7.764338496074322e-07,-0.7216493362681651,-156.41803729666427,1211.5000000000014,0.0,39.45653355790763,0.0,-2.414853678198469e-06,-0.6996913187238253
38,,-348.46914947325865,2741.6666666667343,0.0,349.35088873584743,0.0,-3.774575548214585e-07,-0.6159438385899687,-349.81865364993683,1337.833333333325,0.0,119.52889897000944,0.0,-3.2236956363119876e-06,-0.7631773910771886
39,,-386.1708917011319,2916.0000000000923,0.0,86.5595036153513,0.0,-7.422637976893303e-07,-0.819161652129463,-174.77692324369497,1286.6666666666629,0.0,36.71970272477193,0.0,-6.941504591606448e-07,-0.5736129676303615
40,,-412.9825362177823,2809.666666666742,0.0,380.55956911853224,0.0,-2.6487705456846227e-07,-0.8229441188047544,-373.0693878371808,1353.9999999999914,0.0,140.45885362718474,0.0,-1.078054856150282e-06,-0.8112801446083518
41,,-379.2192563377911,2749.833333333411,0.0,286.88331429316116,0.0,-4.0255304767181233e-07,-0.7759122537907727,-323.2815257648591,1330.3333333333258,0.0,105.79467710682216,0.0,-9.693646596043931e-08,-0.7382801558978326
42,,-415.29570453452453,2807.500000000072,0.0,304.2617923648622,0.0,-5.870777099714265e-07,-0.6523640675034565,-345.25918525103765,1358.6666666666588,0.0,115.59686262702093,0.0,-9.39139775250936e-07,-0.880682658721058
43,,-392.4158189099426,2905.5000000000773,0.0,87.42705739712717,0.0,-2.5818100504371256e-07,-0.5084892919313704,-189.42117673032539,1297.4999999999923,0.0,40.02224905814151,0.0,-2.075817432424058e-06,-0.7132158710471354
44,,-374.08694639361715,2823.0000000000705,0.0,251.16778221393957,0.0,-3.6644849902880575e-07,-0.762897981223549,-306.82301339402824,1351.9999999999889,0.0,96.32711317736694,0.0,-3.6548025174616697e-07,-0.7040052944580261
45,,-301.59843350035607,2748.500000000078,0.0,86.49782056579615,0.0,-4.5234035857926075e-07,-0.7646692591569187,-169.37328320337411,1264.9999999999961,0.0,34.39954209598082,0.0,-9.348846686759853e-07,-0.7376373210198482
46,,-286.1290409665574,2741.666666666738,0.0,135.75022932153502,0.0,-7.16359130795335e-07,-0.525704471201445,-223.55265594797103,1319.66666666666,0.0,51.573344458031485,0.0,-5.997476267583662e-07,-0.5154162002339542
47,,-419.27962863240134,2808.166666666741,0.0,374.0481933516796,0.0,-1.6241461506778897e-06,-0.8223080024688336,-373.08943270158215,1357.3333333333253,0.0,139.03886343278546,0.0,-1.89322175669684e-06,-0.8448664826785577
