id,class,D_sum,D_count,D_mean,D_squarred_difference,D_standard_error,D_max,D_min,K_sum,K_count,K_mean,K_squarred_difference,K_standard_error,K_max,K_min
0,,777.6142817312355,2975.3333333334185,0.0,146.1028829500161,0.0,0.9345597273328792,8.7218734345008e-06,189.94063868122964,1218.6666666666692,0.0,51.886187012215004,0.0,0.7085867709140107,5.5799778874766516e-06
1,,379.11161306785164,2749.833333333405,0.0,309.5728348202371,0.0,0.919535285408188,8.830170700461294e-08,320.58667803398515,1293.166666666659,0.0,118.1531208245577,0.0,0.7122686552551906,3.714697821746841e-07
2,,464.31612583266053,2942.1666666667466,0.0,80.20311793541588,0.0,0.8885709477309189,6.482813604194549e-07,156.8718307305357,1235.499999999998,0.0,38.41684493023668,0.0,0.6788690402138076,4.6065409409162835e-06
3,,294.21473187343236,2791.8333333334067,0.0,126.88089006243166,0.0,0.663689029522946,6.930773644619769e-07,211.29925926233497,1292.6666666666601,0.0,56.289564270704425,0.0,0.8381971712360569,9.555784253240888e-09
4,,820.776926839676,3009.0000000000764,0.0,156.92766164919473,0.0,0.9222644363828624,2.884367883460827e-06,196.40663873859717,1249.4999999999968,0.0,54.868410708221155,0.0,0.8402270892176261,1.1465658563885626e-06
5,,412.28545141552115,2646.666666666726,0.0,522.6319274008139,0.0,0.8025437222146546,3.9071879517576174e-07,403.9440954575175,1278.9999999999936,0.0,196.2094865399763,0.0,0.890845927593396,9.174170112491158e-08
6,,430.9311061500066,2761.8333333334053,0.0,416.01953318922915,0.0,0.8041752928624329,1.4429042759074212e-06,378.47147774015156,1316.6666666666595,0.0,156.8123285966797,0.0,0.8798024772035288,2.068518135240791e-05
7,,395.5552234933613,2662.333333333398,0.0,555.2757097885592,0.0,0.7757822115634523,1.9579595229815086e-07,415.86474992979447,1276.6666666666624,0.0,200.79243866688387,0.0,0.9026325566633546,1.2351462046556765e-06
8,,419.7536941999335,2771.5000000000646,0.0,367.7573106694753,0.0,0.9096079482861952,1.4480182904145525e-06,346.0750544185884,1291.1666666666604,0.0,141.3224353716263,0.0,0.7808389292457836,6.556511764337532e-07
9,,747.3545954181383,2984.666666666746,0.0,125.08716018873008,0.0,0.953617077794117,1.3139806921173086e-06,172.4328778397033,1234.9999999999982,0.0,39.91718132621889,0.0,0.7270195493465748,1.5395009462153315e-06
10,,406.5110609348962,2711.333333333402,0.0,475.0952045922243,0.0,0.8184753804037298,2.4943712392623055e-06,391.4437927839663,1290.833333333328,0.0,176.87920645743088,0.0,0.7747738933522283,1.6253543065997597e-06
11,,760.917489180392,2984.8333333334162,0.0,124.90615675209077,0.0,0.7407379004542786,1.8219521705959245e-06,185.12472456061533,1234.8333333333314,0.0,51.85236228442353,0.0,0.7015903889163945,3.372637805022354e-07
12,,416.0871461066568,2734.666666666736,0.0,447.54655005158867,0.0,0.8998046364082327,2.7662890427370817e-06,382.48655971528444,1299.9999999999927,0.0,169.69357266912334,0.0,0.9303061816751744,1.0940045462255506e-08
13,,399.57895546809243,2808.83333333341,0.0,97.03357494694576,0.0,0.6979551136496525,3.6939237952227298e-06,187.8512578866849,1250.333333333331,0.0,43.91930040120766,0.0,0.6010948782062323,1.9797369837118104e-06
14,,682.7934461436115,3020.0000000000787,0.0,117.77702068130775,0.0,0.8678361286170447,4.6013452889526454e-08,169.03017258017132,1247.9999999999975,0.0,43.12157468210204,0.0,0.6737560534681633,4.434333826294855e-08
15,,399.34505695741717,2689.3333333333935,0.0,468.17999393827466,0.0,0.7235297639484228,7.140626955657001e-07,396.34467939530884,1305.999999999995,0.0,171.00243199484544,0.0,0.8684975302005759,2.3742682097761613e-06
16,,478.80810434115625,2902.8333333334053,0.0,92.90685367470383,0.0,0.6657326528719116,4.387825397129605e-07,178.4113775308786,1272.4999999999934,0.0,40.900485078571016,0.0,0.6737905674591438,6.157012892286867e-07
17,,684.7931641011012,2992.3333333334144,0.0,107.85191614239984,0.0,0.757534024582398,3.573523502333747e-08,161.4783015005073,1242.166666666666,0.0,37.20566151222666,0.0,0.7642963673831148,2.2057047264595015e-07
18,,309.36528927054803,2835.166666666745,0.0,91.31237324877185,0.0,0.5425724566591821,1.457271988822867e-09,183.1265638655423,1287.9999999999945,0.0,40.152680295358714,0.0,0.6938206505502804,7.655762492344959e-08
19,,582.8753050556965,2906.33333333342,0.0,96.234669862127,0.0,0.816048984802892,1.2933525642771213e-06,164.71820219226242,1235.8333333333326,0.0,37.79302839220671,0.0,0.7214807930914704,1.914277228719926e-06
20,,349.82743398469074,2906.5000000000787,0.0,68.63058529793324,0.0,0.8345328622977658,1.0133572756081904e-07,159.0461158557499,1284.6666666666604,0.0,29.796303624053674,0.0,0.5605106384226731,6.345188426192337e-07
21,,880.6766908000808,3040.166666666743,0.0,153.0245163319585,0.0,0.9206727288230382,3.2362809919268965e-07,188.2364432450864,1235.8333333333312,0.0,53.1255745319555,0.0,0.8255456750141636,5.144206101623042e-06
22,,748.9727009001059,2987.0000000000855,0.0,143.31399587692357,0.0,0.8745835042293455,6.444132593147154e-07,181.53177588840347,1241.9999999999973,0.0,55.1738461293636,0.0,0.8098591624554536,6.075482519872462e-07
23,,375.84437967723113,2682.166666666729,0.0,370.43811293038897,0.0,0.7962180990893856,2.4810505562954803e-08,342.2205221833236,1279.3333333333267,0.0,147.7007775652406,0.0,0.8255358787203918,3.115545045271752e-08
24,,452.52894215045666,2875.500000000082,0.0,193.43419348416407,0.0,0.7478148260023976,2.4567940944282765e-07,271.54438984175306,1318.1666666666613,0.0,77.18452893053295,0.0,0.674514335061176,3.6825691727591318e-06
25,,762.0415606506837,3067.3333333334112,0.0,135.9916206892822,0.0,0.9202034178664424,4.0323398453556276e-06,202.98093148120773,1258.1666666666642,0.0,58.03798507758909,0.0,0.7883367401929284,3.48332718416265e-06
26,,542.835384731453,2989.166666666737,0.0,71.08051846388761,0.0,0.7792547770809068,8.935831167028834e-07,151.9926227456954,1235.9999999999984,0.0,33.03350130604692,0.0,0.7514042418024112,2.7158194009009815e-07
27,,332.8480322190266,2659.500000000063,0.0,291.2896129987274,0.0,0.6155103487760774,1.643654542836706e-07,308.6997575784576,1285.9999999999948,0.0,105.79714082438153,0.0,0.6731266122637407,1.3621284065615134e-06
28,,464.1204402075741,2879.0000000000837,0.0,123.8010026707791,0.0,0.7346909501563113,3.174724675443603e-06,223.32044838268004,1300.6666666666622,0.0,57.401485409479946,0.0,0.7389998852346504,1.7264692325407813e-06
29,,551.5881201491594,2966.8333333334162,0.0,82.0716248301368,0.0,0.8741143130529313,1.180107954132768e-06,141.2686864724106,1237.6666666666674,0.0,30.141266397042457,0.0,0.7663249704720974,2.4463798771279e-06
30,,364.3290189347151,2685.3333333333867,0.0,311.6690986487143,0.0,0.7312574129930053,6.971293433312541e-09,318.0754630647714,1283.8333333333292,0.0,117.35808099380856,0.0,0.7105258800883548,3.257810252173369e-06
31,,493.0114956227097,2920.333333333415,0.0,84.79786105270077,0.0,0.7037053103431684,1.812249975442417e-07,174.10967258558767,1265.83333333333,0.0,39.27740311974215,0.0,0.7464981208428492,1.8699697857156023e-06
32,,416.8005190350972,2665.333333333384,0.0,585.602624903964,0.0,0.8462884312619449,1.5785078904442045e-07,431.2546126076881,1295.166666666662,0.0,219.69246672417935,0.0,0.9488606568612298,5.061464536895315e-09
33,,372.54580399710676,2961.5000000000778,0.0,75.43845011541542,0.0,0.7072078040849066,1.5522095415019792e-08,167.73401813055662,1271.9999999999939,0.0,32.975782952783625,0.0,0.5262739656150386,9.580784679072457e-08
34,,357.6661957747324,2658.6666666667143,0.0,350.88446041722113,0.0,0.7199736269284808,4.0997875704083383e-07,328.52855469436395,1269.8333333333298,0.0,142.28217653279856,0.0,0.8629646074860832,3.5663460453624503e-07
35,,334.0422546041681,2802.1666666667456,0.0,173.28253868943887,0.0,0.7180461458720974,9.60257871709053e-07,250.00619635992865,1319.166666666659,0.0,69.11781362970424,0.0,0.8118218257931675,2.443544392133961e-07
36,,346.86132675507116,2782.8333333334062,0.0,211.209533242746,0.0,0.6432644826624462,6.179690079430858e-08,268.89443338433915,1298.3333333333271,0.0,85.5224285403307,0.0,0.7527824380228081,2.195161058244189e-06
37,,355.9442270075916,2720.3333333334035,0.0,258.1481734883161,0.0,0.854487098228509,5.738994597516374e-07,289.0355161444767,1275.1666666666629,0.0,99.52590518993856,0.0,0.6807502407875775,1.2302675196606763e-06
38,,737.4008378650675,2986.0000000000773,0.0,111.61936728116092,0.0,0.8323099839251209,3.4038563861960026e-07,152.86763489486577,1210.6666666666677,0.0,38.924885089934634,0.0,0.6851485916129822,4.2097409906390857e-07
39,,403.0768425711228,2874.3333333334144,0.0,91.29254566065217,0.0,0.758163688963857,1.5397886461386433e-07,178.56551047486994,1300.8333333333271,0.0,39.80842945841462,0.0,0.6210768851564497,1.506155728195135e-06
40,,801.3598682230728,3020.8333333334085,0.0,145.52982701794934,0.0,0.900601637035769,4.3165673391586565e-07,180.20987836078672,1245.3333333333298,0.0,48.59216686622797,0.0,0.6826805276171712,1.6360080835668794e-06
41,,688.1158236712355,2965.00000000009,0.0,112.68431291055664,0.0,0.9079680041025484,3.9143349678652577e-07,168.40325277885006,1215.6666666666695,0.0,40.854607891621825,0.0,0.654117388726729,9.526090956084161e-07
42,,725.8035715666638,3025.5000000000737,0.0,119.93554915027738,0.0,0.8082052423823389,1.8189355407151044e-07,187.4685673737426,1244.4999999999957,0.0,46.09919777624766,0.0,0.7480679737783241,2.9485622902810975e-07
43,,423.60585841020287,2904.3333333334213,0.0,82.91353803847187,0.0,0.6291606295480744,1.3099061027360906e-07,179.55976834988886,1299.9999999999932,0.0,35.075377245454064,0.0,0.6401155679190694,2.5725299604304225e-06
44,,669.7991327186247,3026.166666666749,0.0,106.26215973803937,0.0,0.840134288325888,2.149915550127841e-07,163.18058716732676,1255.9999999999945,0.0,38.64742099588114,0.0,0.6328727728350798,1.5034158017235448e-06
45,,383.77664737092783,2846.3333333334094,0.0,62.139071375233236,0.0,0.6783195194264523,8.539274452893889e-07,144.32130328026554,1228.1666666666667,0.0,30.708495767220768,0.0,0.734059104177843,1.3877931995374486e-06
46,,488.6842143045128,2946.0000000000878,0.0,53.9946311988445,0.0,0.64003145841794,4.885117176977718e-06,123.78154259514852,1215.6666666666686,0.0,21.54945512368482,0.0,0.6054088804768198,1.0371606763027792e-06
